Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C28_A28,C=S(=O)(F)c1n(C)c(NPC(C)C)c(NC)[n+]1F.O=C([O-])[C@@H]1CCCN1,18,0.5137254901960784,1-butyl-3-methylimidazolium,L-prolinate,[1044.91 1010.42],"620.66, 1254.71","[68.35, 19.47]"
C30_A30,CCC(CC)COC(C(P)CF)C(N)[NH2+]OC.N[C@@H](CO)C(=O)[O-],17,0.5081967213114754,triethyloctylammonium,L-serinate,[1034.92  970.18],"689.46, 1151.34","[50.11, 15.73]"
C36_A36,CCCCCCCCCCn1cc[n+](S)c1N.N#C[N-]C#N,17,0.63,1-butyl-3-methylimidazolium,dicyanamide,[977.27 952.72],"570.41, 1051.01","[71.33, 9.35]"
C40_A40,CCCCC(F)[N+](C)(C)CCOC(C)=O.N#CN=C=[N-],15,0.5178571428571429,"N,N,N-triethyldodecan-1-aminium",dicyanoazanide,[975.82 975.78],"510.76, 1103.25","[91.05, 11.55]"
C47_A47,CCCC([NH3+])(F)C(CC(C)C(C)=O)C(N=N)NSC.N#CN=C=[N-],19,0.5150214592274678,1-butyl-3-methylimidazolium,dicyanoazanide,[1075.16 1004.41],"726.67, 1117.98","[47.96, 10.16]"
C52_A52,CNc1c(F)ccc[n+]1C(OCO)C(C)(C)C.N#C[C-](C#N)C#N,17,0.524,1-butyl-3-methylimidazolium,tricyanomethane,[1032.37  935.93],"508.73, 1151.46","[102.93, 18.72]"
C55_A55,Nc1c(N=NF)ccc(N=NNO)[n+]1C(F)C(O)P.O=S(=O)([O-])C(F)(F)F,19,0.5118110236220472,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,[1009.67 1064.83],"505.09, 1587.92","[99.9, 32.94]"
C61_A61,CCCCC[n+]1cc(NC)n(CCC)c1NC.O=C([O-])[C@@H]1CCCN1,17,0.5702127659574469,1-butyl-3-methylimidazolium,L-prolinate,[985.44 921.84],"702.53, 1025.09","[40.27, 10.07]"
C62_A62,CCCC(N)(CCC)[n+]1ccc(N(C)C)c(P)c1.NCCCC[C@H](N)C(=O)[O-],18,0.5186721991701245,1-ethyl-2-methylpyridinium,L-lysinate,[1031.08  931.25],"834.27, 1062.80","[23.59, 12.38]"
C65_A65,CCCCC(N=NC(=O)O)[n+]1ccc(F)cc1N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,18,0.5397489539748954,1-ethyl-2-methylpyridinium,bis(trifluoromethylsulfonyl)imide,[1038.23  994.35],"612.94, 1485.88","[69.39, 33.08]"
C66_A66,CC(C1CC1)C(CCF)[NH2+]C(N)OO.NCCCC[C@H](N)C(=O)[O-],14,0.5,triethyloctylammonium,L-lysinate,[1040.32 1009.41],"648.08, 1100.88","[60.52, 8.31]"
C70_A70,CCCC[NH2+]C(S)(OC(C#N)CCCC(C)F)SO.N[C@@H](CO)C(=O)[O-],19,0.5039370078740157,triethyloctylammonium,L-serinate,[1066.79  968.97],"663.58, 1190.57","[60.76, 18.61]"
C72_A72,CN(CC(C)(N)F)c1cc[n+](CCCCF)c(F)c1.O=C([O-])[C@@H]1CCCN1,19,0.5210084033613446,1-ethyl-2-methylpyridinium,L-prolinate,[ 987.14 1015.25],"693.00, 1173.65","[42.44, 13.5]"
C74_A74,CCCCCCC[NH+](C)CN.NCCCC[C@H](N)C(=O)[O-],11,0.6056338028169014,"N,N,N-triethyldodecan-1-aminium",L-lysinate,[964.07 953.44],"686.33, 1008.89","[40.47, 5.5]"
C75_A75,CCCCCCCCCn1cc(N=C=O)[n+](C)c1.COS(=O)(=O)[O-],18,0.6380952380952379,1-butyl-3-methylimidazolium,methylsulfate,[1042.86 1031.03],"606.39, 1141.40","[71.98, 9.67]"
C76_A76,CCCCc1cn(C)c[n+]1CCC(F)(F)F.N#C[N-]C#N,16,0.5814977973568282,1-butyl-3-methylimidazolium,dicyanamide,[1034.22 1018.91],"488.68, 1130.29","[111.64, 9.85]"
C85_A85,CCCC(CCC)Cc1c(C)cc(C)c(N)[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,19,0.5263157894736842,1-ethyl-2-methylpyridinium,bis(trifluoromethylsulfonyl)imide,[1009.53  992.91],"792.30, 1237.89","[27.42, 19.79]"
C87_A87,C=CC(F)(n1c(N)c(CC)[n+](C)c1C)[SH](=O)=O.N#CN=C=[N-],17,0.5234375,1-butyl-3-methylimidazolium,dicyanoazanide,[1070.31 1024.55],"463.26, 1269.40","[131.04, 19.29]"
C89_A89,CCCCP(CCC)CC(C[NH3+])PCCC.NCCCC[C@H](N)C(=O)[O-],16,0.5,triethylhexylammonium,L-lysinate,[1006.32 1011.73],"797.63, 986.74","[26.16, 2.53]"
C92_A92,Nc1c[n+](CO)c(N[SH](=O)=O)n1CF.N#C[C-](C#N)C#N,14,0.522633744855967,1-butyl-3-methylimidazolium,tricyanomethane,[1003.24 1035.32],"407.75, 1500.38","[146.04, 31.0]"
C96_A96,CCCC1CC1C(CO)C(F)(CC[NH3+])CCCF.O=C([O-])[C@@H]1CCCN1,18,0.5086206896551724,triethyloctylammonium,L-prolinate,[1033.15 1019.35],"790.71, 1061.42","[30.66, 3.96]"
C98_A98,CCCCCCCC[N+]1(C)CCC(Cl)CC1.NCCCC[C@H](N)C(=O)[O-],16,0.7375,"N,N,N-triethyldodecan-1-aminium",L-lysinate,[1073.1   991.65],"830.33, 1042.34","[29.24, 4.86]"
